이름,팀,포지션,선발,수비이닝,실책,수비율
김태군,01,포수,139,1,3,0.997
나성범,01,우익수,141,1,6,0.979
박민우,01,2루수,133,1,11,0.983
김하성,02,유격수,139,1,21,0.967
손시헌,01,유격수,137,1,13,0.976
박해민,08,중견수,129,1,3,0.991
오지환,04,유격수,132,1,15,0.978
필,05,1루수,133,1,8,0.993
황재균,06,3루수,128,1,16,0.952
최형우,08,좌익수,134,1,2,0.991
박경수,07,2루수,131,1,6,0.991
김재호,03,유격수,128,1,16,0.971
박병호,02,1루수,131,1,12,0.990
이범호,05,3루수,127,9,9,0.968
이대형,07,중견수,126,9,2,0.991
박석민,08,3루수,129,1,14,0.951
양의지,03,포수,123,1,6,0.994
정훈,06,2루수,127,1,17,0.972
김상수,08,유격수,128,1,18,0.965
김성현,09,유격수,116,9,22,0.957
정수빈,03,중견수,122,1,2,0.992
나바로,08,2루수,124,1,12,0.979
박동원,02,포수,122,1,10,0.990
테임즈,01,1루수,125,1,4,0.996
이종욱,01,중견수,120,1,1,0.996
지석훈,01,3루수,106,8,12,0.952
유강남,04,포수,85,7,3,0.995
정근우,10,2루수,120,1,10,0.984
김종호,01,좌익수,114,8,2,0.990
김현수,03,좌익수,118,9,1,0.995
김태군,01,포수,139,1,3,0.997
나성범,01,우익수,141,1,6,0.979
박민우,01,2루수,133,1,11,0.983
김하성,02,유격수,139,1,21,0.967
손시헌,01,유격수,137,1,13,0.976
박해민,08,중견수,129,1,3,0.991
오지환,04,유격수,132,1,15,0.978
필,05,1루수,133,1,8,0.993
황재균,06,3루수,128,1,16,0.952
최형우,08,좌익수,134,1,2,0.991
박경수,07,2루수,131,1,6,0.991
김재호,03,유격수,128,1,16,0.971
박병호,02,1루수,131,1,12,0.990
이범호,05,3루수,127,9,9,0.968
이대형,07,중견수,126,9,2,0.991
박석민,08,3루수,129,1,14,0.951
양의지,03,포수,123,1,6,0.994
정훈,06,2루수,127,1,17,0.972
김상수,08,유격수,128,1,18,0.965
김성현,09,유격수,116,9,22,0.957
정수빈,03,중견수,122,1,2,0.992
나바로,08,2루수,124,1,12,0.979
박동원,02,포수,122,1,10,0.990
테임즈,01,1루수,125,1,4,0.996
이종욱,01,중견수,120,1,1,0.996
지석훈,01,3루수,106,8,12,0.952
유강남,04,포수,85,7,3,0.995
정근우,10,2루수,120,1,10,0.984
