연도,선수이름,팀,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,팀아이디,선수아이디,팀승률,팀순위
2015,테임즈,1,0.381,142,595,472,130,180,42,5,47,373,140,0,7,103,11,13,91,7,0.79,0.4970000000000001,1.287,52,0.31,94,75,133,0.56,12,1.13,3.97,0.409,162.2,t1501,1,0.596,3
2015,나성범,1,0.326,144,622,564,112,184,34,5,28,312,135,3,8,32,1,15,127,9,0.5529999999999999,0.373,0.926,57,0.3670000000000001,67,126,135,0.93,22,0.25,3.65,0.227,111.8,t1501,9,0.596,3
2015,박민우,1,0.304,141,617,520,111,158,31,6,3,210,47,3,7,73,0,14,108,4,0.404,0.399,0.8029999999999999,44,0.379,40,133,128,1.04,1,0.68,4.2,0.1,92.4,t1501,24,0.596,3
2015,김종호,1,0.295,133,486,424,90,125,16,7,4,167,36,10,3,44,0,4,65,11,0.394,0.364,0.758,34,0.27,27,155,82,1.89,5,0.68,3.79,0.099,64.1,t1501,31,0.596,3
2015,이호준,1,0.294,131,518,449,48,132,25,0,24,229,110,3,2,61,7,3,102,16,0.51,0.381,0.8909999999999999,34,0.314,49,120,97,1.24,7,0.6,4.03,0.21600000000000005,80.1,t1501,32,0.596,3
2015,이종욱,1,0.268,125,504,440,63,118,25,2,5,162,52,4,3,54,6,3,78,5,0.368,0.35,0.718,29,0.256,32,119,128,0.93,6,0.69,3.99,0.1,60.7,t1501,47,0.596,3
2015,지석훈,1,0.267,137,466,415,53,111,15,0,11,159,46,9,3,23,0,16,85,9,0.383,0.328,0.711,26,0.24,26,125,97,1.29,5,0.27,3.73,0.116,52.9,t1501,48,0.596,3
2015,김태군,1,0.254,144,474,421,45,107,24,0,6,149,52,11,7,25,0,10,77,12,0.354,0.307,0.6609999999999999,26,0.238,30,125,119,1.05,5,0.32,3.66,0.1,45.9,t1501,50,0.596,3
2015,손시헌,1,0.245,140,508,440,56,108,24,2,13,175,58,13,5,36,0,14,66,16,0.398,0.319,0.7170000000000001,25,0.261,39,142,129,1.1,8,0.55,3.62,0.152,55.5,t1501,51,0.596,3
2015,유한준,2,0.362,139,598,520,103,188,42,1,23,301,116,1,8,67,2,2,71,13,0.579,0.43,1.009,62,0.395,66,131,138,0.95,9,0.94,4.01,0.217,116.0,t1502,2,0.545,4
