year,name,team,avg,game,pa,ab,run,hit,b2,b3,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,xbh,go,ao,goao,gw,bbk,isop,xr,gpa
2020,로하스,KT,0.388,77,339,304,71,118,26,1,29,233,74,0,1,32,2,2,72,7,0.766,0.448,1.214,37,0.368,56,47,68,0.69,9,0.44,3.99,0.378,84.0
2020,이정후,키움,0.368,83,368,323,57,119,31,4,13,197,68,2,6,33,4,4,25,8,0.61,0.426,1.036,36,0.381,48,77,108,0.71,13,1.32,3.8,0.241,74.6
2020,허경민,두산,0.368,62,257,234,33,86,10,1,4,110,33,1,4,15,0,3,15,7,0.47,0.406,0.876,29,0.483,15,63,74,0.85,2,1.0,3.43,0.103,41.5
2020,페르난데스,두산,0.362,80,369,323,67,117,18,0,14,177,63,0,5,33,1,8,26,15,0.548,0.428,0.976,39,0.333,32,108,77,1.4,4,1.27,3.79,0.186,67.0
2020,오재일,두산,0.349,66,281,255,37,89,20,0,10,139,51,0,1,25,0,0,45,4,0.545,0.406,0.951,25,0.413,30,48,74,0.65,10,0.56,3.69,0.196,50.4
2020,손아섭,롯데,0.346,75,338,292,59,101,24,0,4,137,46,1,5,39,1,1,35,4,0.469,0.418,0.887,30,0.36,28,89,72,1.24,6,1.11,3.83,0.123,56.5
2020,김현수,LG,0.346,81,357,324,59,112,25,1,16,187,70,0,3,30,4,0,28,8,0.577,0.398,0.975,34,0.486,42,92,95,0.97,9,1.07,3.78,0.231,65.1
2020,강진성,NC,0.34,68,259,238,39,81,16,0,11,130,51,1,4,11,0,5,27,5,0.546,0.376,0.922,21,0.373,27,67,67,1.0,6,0.41,3.72,0.206,45.7
2020,구자욱,삼성,0.332,57,249,220,35,73,15,0,7,109,34,0,2,23,2,4,45,1,0.495,0.402,0.897,23,0.25,22,49,55,0.89,4,0.51,4.02,0.164,42.9
2020,배정대,KT,0.33,77,324,288,45,95,19,3,9,147,37,3,2,28,0,3,76,4,0.51,0.393,0.903,26,0.3,31,50,69,0.72,1,0.37,3.88,0.181,54.1
2020,김상수,삼성,0.328,70,296,247,48,81,17,1,3,109,25,1,2,39,1,7,34,11,0.441,0.431,0.872,20,0.347,21,76,58,1.31,4,1.15,4.26,0.113,45.1
2020,박민우,NC,0.321,66,277,249,44,80,17,2,3,110,27,1,5,20,2,2,23,6,0.442,0.37,0.812,23,0.426,22,67,84,0.8,4,0.87,3.91,0.12,39.7
2020,조용호,KT,0.318,71,256,220,45,70,8,0,0,78,16,1,1,32,0,2,44,5,0.355,0.408,0.763,17,0.37,8,68,39,1.74,6,0.73,4.57,0.036,33.8
2020,최형우,KIA,0.316,75,317,272,45,86,17,0,10,133,50,0,2,39,2,4,48,5,0.489,0.407,0.896,26,0.349,27,62,78,0.79,12,0.81,4.15,0.173,52.3
2020,이명기,NC,0.312,72,276,250,40,78,9,2,1,94,29,1,2,21,0,2,45,3,0.376,0.367,0.743,21,0.302,12,73,56,1.3,1,0.47,3.97,0.064,34.6
2020,나성범,NC,0.307,71,329,290,59,89,22,2,19,172,58,0,1,33,1,5,91,5,0.593,0.386,0.979,29,0.304,43,52,59,0.88,10,0.36,3.94,0.286,60.8
2020,황재균,KT,0.305,67,298,272,52,83,20,1,10,135,44,2,2,20,0,2,47,4,0.496,0.355,0.851,25,0.264,31,54,90,0.6,2,0.43,3.72,0.191,45.4
2020,강백호,KT,0.305,62,269,233,46,71,15,1,12,124,44,0,3,31,3,2,45,5,0.532,0.387,0.919,18,0.231,28,60,60,1.0,5,0.69,3.68,0.227,45.9
2020,박건우,두산,0.304,74,324,286,63,87,24,0,6,129,40,0,5,27,2,6,40,4,0.451,0.37,0.821,25,0.29,30,56,108,0.52,9,0.68,3.76,0.147,48.0
2020,마차도,롯데,0.302,75,304,268,41,81,17,1,7,121,45,1,5,27,0,3,35,10,0.451,0.366,0.817,20,0.319,25,84,73,1.15,1,0.77,3.88,0.149,43.9
2020,박해민,삼성,0.302,69,266,245,40,74,10,2,6,106,27,4,0,16,0,1,41,4,0.433,0.347,0.78,23,0.3,18,54,76,0.71,1,0.39,3.82,0.131,34.6
2020,이대호,롯데,0.3,75,321,283,34,85,18,0,11,136,55,0,3,34,7,1,35,12,0.481,0.374,0.855,19,0.337,29,77,89,0.87,9,0.97,3.47,0.18,46.3
2020,터커,KIA,0.298,77,337,292,56,87,22,0,19,166,61,0,0,41,2,4,38,8,0.568,0.392,0.96,22,0.329,41,72,95,0.76,5,1.08,3.88,0.271,59.6
2020,정수빈,두산,0.298,77,291,262,45,78,8,5,2,102,29,5,1,21,2,2,31,6,0.389,0.353,0.742,24,0.286,15,87,67,1.3,2,0.68,3.87,0.092,34.6
2020,알테어,NC,0.295,71,281,254,52,75,10,5,19,152,65,0,1,19,1,7,80,5,0.598,0.359,0.957,21,0.342,34,46,54,0.85,5,0.24,3.81,0.303,52.5
2020,박석민,NC,0.293,70,260,205,38,60,6,0,10,96,38,2,3,42,2,7,35,3,0.468,0.424,0.892,8,0.321,16,54,59,0.92,5,1.2,4.21,0.176,44.0
2020,라모스,LG,0.292,75,313,274,42,80,12,0,21,155,50,0,4,32,4,3,85,4,0.566,0.367,0.933,22,0.283,33,43,70,0.61,5,0.38,4.03,0.274,55.8
2020,오지환,LG,0.292,79,322,288,50,84,20,5,9,141,45,4,4,20,0,6,62,2,0.49,0.346,0.836,20,0.297,34,67,79,0.85,1,0.32,4.2,0.198,50.1
2020,최주환,두산,0.291,78,319,289,41,84,17,2,10,135,51,0,3,23,3,4,40,6,0.467,0.348,0.815,20,0.358,29,52,116,0.45,3,0.58,4.19,0.176,45.1
2020,채은성,LG,0.29,66,279,255,41,74,9,1,8,109,53,0,3,17,1,4,48,7,0.427,0.341,0.768,23,0.397,18,68,68,1.0,5,0.35,3.73,0.137,35.0
2020,김하성,키움,0.288,81,372,313,73,90,12,1,18,158,66,2,3,49,2,5,38,9,0.505,0.389,0.894,22,0.292,31,69,119,0.58,8,1.29,3.7,0.217,63.1
2020,안치홍,롯데,0.287,71,292,261,30,75,20,0,4,107,31,3,2,21,1,5,31,6,0.41,0.349,0.759,17,0.271,24,73,84,0.87,3,0.68,3.78,0.123,37.1
2020,나지완,KIA,0.286,74,300,259,40,74,11,0,10,115,51,0,2,31,0,8,57,2,0.444,0.377,0.821,19,0.351,21,50,80,0.63,4,0.54,3.97,0.158,45.0
2020,전준우,롯데,0.285,74,337,305,51,87,18,0,15,150,51,1,1,25,0,5,44,10,0.492,0.348,0.84,25,0.231,33,84,91,0.92,4,0.57,3.52,0.207,48.4
2020,서건창,키움,0.285,79,344,281,48,80,13,5,5,118,31,3,5,52,0,3,36,7,0.42,0.396,0.816,22,0.339,23,76,94,0.81,3,1.44,3.9,0.135,51.1
2020,장성우,KT,0.284,73,248,215,21,61,7,0,8,92,51,7,4,21,0,1,38,8,0.428,0.344,0.772,16,0.353,15,61,59,1.03,4,0.55,3.79,0.144,31.7
2020,이천웅,LG,0.283,59,268,230,39,65,7,1,1,77,27,2,5,27,0,4,30,2,0.335,0.361,0.696,20,0.333,9,74,66,1.12,2,0.9,4.0,0.052,31.6
2020,권희동,NC,0.282,65,243,195,41,55,8,0,10,93,33,5,1,37,0,5,43,5,0.477,0.408,0.885,11,0.351,18,42,56,0.75,3,0.86,4.4,0.195,38.9
2020,김재환,두산,0.282,76,333,284,49,80,13,0,15,138,66,0,4,45,1,0,87,8,0.486,0.375,0.861,20,0.309,28,68,53,1.28,5,0.52,3.87,0.204,52.2
2020,양의지,NC,0.281,64,252,217,34,61,14,0,11,108,53,1,4,21,1,9,24,7,0.498,0.363,0.861,16,0.387,25,50,86,0.58,8,0.88,3.57,0.217,39.1
2020,최정,SK,0.28,76,310,254,49,71,16,0,19,144,51,0,3,42,1,11,49,3,0.567,0.4,0.967,18,0.254,35,47,90,0.52,5,0.86,3.95,0.287,58.2
2020,김혜성,키움,0.279,81,306,269,43,75,12,3,6,111,38,0,4,32,0,1,56,3,0.413,0.353,0.766,17,0.357,21,73,69,1.06,3,0.57,3.86,0.134,41.8
2020,노진혁,NC,0.278,69,257,230,41,64,12,1,13,117,45,1,0,25,1,1,49,6,0.509,0.352,0.861,19,0.328,26,53,64,0.83,2,0.51,3.78,0.23,38.0
2020,이용규,한화,0.275,72,291,247,38,68,5,0,1,76,20,1,1,38,0,4,23,5,0.308,0.379,0.687,17,0.292,6,81,76,1.07,1,1.65,4.34,0.032,32.9
2020,유강남,LG,0.275,76,273,251,31,69,10,0,7,100,47,0,2,12,1,8,55,9,0.398,0.326,0.724,17,0.412,17,67,62,1.08,5,0.22,3.46,0.124,30.4
2020,이원석,삼성,0.274,66,257,215,29,59,11,0,8,94,54,1,9,31,0,1,41,4,0.437,0.355,0.792,15,0.373,19,46,78,0.59,2,0.76,4.0,0.163,37.5
2020,박경수,KT,0.27,72,252,211,25,57,8,0,9,92,39,2,4,31,2,4,63,9,0.436,0.368,0.804,13,0.267,17,46,49,0.94,2,0.49,4.36,0.166,34.0
2020,최지훈,SK,0.27,64,256,230,29,62,10,2,1,79,11,4,1,19,0,2,34,2,0.343,0.329,0.672,17,0.25,13,72,63,1.14,0,0.56,3.79,0.074,27.9
2020,한동희,롯데,0.268,66,251,220,27,59,10,0,10,99,34,3,2,23,0,3,46,6,0.45,0.343,0.793,15,0.179,20,78,39,2.0,2,0.5,3.76,0.182,33.1
2020,로맥,SK,0.246,77,321,268,40,66,15,0,13,120,36,0,1,51,2,1,69,3,0.448,0.368,0.816,16,0.237,28,46,88,0.52,3,0.74,4.24,0.201,46.9
2020,정은원,한화,0.246,77,296,248,28,61,9,2,3,83,29,2,1,41,0,4,38,4,0.335,0.361,0.696,16,0.221,14,77,73,1.05,3,1.08,4.34,0.089,33.4
2020,민병헌,롯데,0.243,68,264,239,34,58,12,0,2,76,15,4,1,15,1,5,47,8,0.318,0.3,0.618,13,0.163,14,78,57,1.37,5,0.32,3.62,0.075,20.8
2020,박찬호,KIA,0.238,77,304,282,41,67,9,0,3,85,20,4,2,16,0,0,57,6,0.301,0.277,0.578,19,0.159,12,87,73,1.19,1,0.28,3.87,0.064,23.1
2020,박병호,키움,0.232,80,337,272,53,63,6,0,20,129,58,0,7,50,2,8,101,8,0.474,0.359,0.833,14,0.224,26,46,69,0.67,6,0.5,4.39,0.243,51.2
2020,심우준,KT,0.231,77,296,268,30,62,7,2,3,82,28,8,1,18,0,1,57,4,0.306,0.281,0.587,17,0.232,12,83,67,1.24,2,0.32,4.0,0.075,22.9
2020,김태균,한화,0.226,64,246,212,14,48,11,0,2,65,29,1,2,29,3,2,42,7,0.307,0.322,0.629,12,0.333,13,52,72,0.72,4,0.69,3.96,0.08,21.7
