연도,이름,팀,경기,도루시도,도루허용,도루실책,도루성공률,주루사,id
2015,박해민,08,144,68,6,8,88.2,6,t1508
2015,박민우,01,141,62,4,16,74.2,3,t1501
2015,이대형,07,140,58,4,14,75.9,6,t1507
2015,김종호,01,133,51,4,10,80.4,4,t1501
2015,테임즈,01,142,48,4,8,83.3,10,t1501
2015,오재원,03,120,39,3,8,79.5,3,t1503
2015,이용규,10,124,38,2,10,73.7,8,t1510
2015,김상수,08,132,31,2,5,83.9,2,t1508
2015,오지환,04,138,35,2,10,71.4,7,t1504
2015,아두치,06,132,34,2,10,70.6,5,t1506
2015,나성범,01,144,27,2,4,85.2,4,t1501
2015,나바로,08,140,28,2,6,78.6,2,t1508
2015,고종욱,02,119,36,2,14,61.1,9,t1502
2015,김하성,02,140,26,2,4,84.6,9,t1502
2015,이명기,09,137,32,2,10,68.8,6,t1509
2015,정근우,10,126,27,2,6,77.8,7,t1510
2015,신종길,05,99,24,1,5,79.2,1,t1505
2015,조동화,09,119,21,1,3,85.7,1,t1509
2015,구자욱,08,116,24,1,7,70.8,5,t1508
2015,이종욱,01,125,21,1,4,81.0,3,t1501
2015,정훈,06,135,22,1,6,72.7,6,t1506
2015,정수빈,03,128,24,1,9,62.5,5,t1503
2015,오승택,06,122,19,1,4,78.9,3,t1506
2015,김사연,07,72,20,1,5,75.0,4,t1507
2015,최재원,01,114,19,1,5,73.7,1,t1501
2015,필,05,143,24,1,10,58.3,6,t1505
2015,박찬도,08,116,19,1,6,68.4,1,t1508
2015,김민혁,07,82,19,1,7,63.2,1,t1507
2015,이택근,02,105,17,1,6,64.7,10,t1502
2015,김용의,04,71,17,1,6,64.7,2,t1504
2015,박해민,08,144,68,6,8,88.2,6,t1508
2015,박민우,01,141,62,4,16,74.2,3,t1501
2015,이대형,07,140,58,4,14,75.9,6,t1507
2015,김종호,01,133,51,4,10,80.4,4,t1501
2015,테임즈,01,142,48,4,8,83.3,10,t1501
2015,오재원,03,120,39,3,8,79.5,3,t1503
2015,이용규,10,124,38,2,10,73.7,8,t1510
2015,김상수,08,132,31,2,5,83.9,2,t1508
2015,오지환,04,138,35,2,10,71.4,7,t1504
2015,아두치,06,132,34,2,10,70.6,5,t1506
