year,name,team,avg,game,pa,ab,run,hit,b2,b3,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,xbh,go,ao,goao,gw,bbk,isop,xr,gpa,posi,era,w,l,wpct,ip,ph,phr,pbb,phbp,pso,r,er,whip,qs,tbf,np,pavg,pb2,pb3,id,odds,rank
2015,테임즈,NC,0.381,142,595.0,472.0,130.0,180.0,42.0,5.0,47.0,373.0,140.0,0.0,7.0,103.0,11.0,13.0,91.0,7.0,0.79,0.49700000000000005,1.287,52.0,0.31,94.0,75.0,133.0,0.56,12.0,1.13,3.97,0.409,162.2,1,,,,,,,,,,,,,,,,,,,,t1501,0.596,3
2015,나성범,NC,0.326,144,622.0,564.0,112.0,184.0,34.0,5.0,28.0,312.0,135.0,3.0,8.0,32.0,1.0,15.0,127.0,9.0,0.5529999999999999,0.373,0.9259999999999999,57.0,0.36700000000000005,67.0,126.0,135.0,0.93,22.0,0.25,3.65,0.22699999999999998,111.8,1,,,,,,,,,,,,,,,,,,,,t1501,0.596,3
2015,박민우,NC,0.304,141,617.0,520.0,111.0,158.0,31.0,6.0,3.0,210.0,47.0,3.0,7.0,73.0,0.0,14.0,108.0,4.0,0.40399999999999997,0.39899999999999997,0.8029999999999999,44.0,0.379,40.0,133.0,128.0,1.04,1.0,0.68,4.2,0.1,92.4,1,,,,,,,,,,,,,,,,,,,,t1501,0.596,3
2015,김종호,NC,0.295,133,486.0,424.0,90.0,125.0,16.0,7.0,4.0,167.0,36.0,10.0,3.0,44.0,0.0,4.0,65.0,11.0,0.39399999999999996,0.364,0.758,34.0,0.27,27.0,155.0,82.0,1.89,5.0,0.68,3.79,0.099,64.1,1,,,,,,,,,,,,,,,,,,,,t1501,0.596,3
2015,이호준,NC,0.294,131,518.0,449.0,48.0,132.0,25.0,0.0,24.0,229.0,110.0,3.0,2.0,61.0,7.0,3.0,102.0,16.0,0.51,0.381,0.8909999999999999,34.0,0.314,49.0,120.0,97.0,1.24,7.0,0.6,4.03,0.21600000000000003,80.1,1,,,,,,,,,,,,,,,,,,,,t1501,0.596,3
2015,이종욱,NC,0.268,125,504.0,440.0,63.0,118.0,25.0,2.0,5.0,162.0,52.0,4.0,3.0,54.0,6.0,3.0,78.0,5.0,0.368,0.35,0.718,29.0,0.256,32.0,119.0,128.0,0.93,6.0,0.69,3.99,0.1,60.7,1,,,,,,,,,,,,,,,,,,,,t1501,0.596,3
2015,지석훈,NC,0.267,137,466.0,415.0,53.0,111.0,15.0,0.0,11.0,159.0,46.0,9.0,3.0,23.0,0.0,16.0,85.0,9.0,0.38299999999999995,0.32799999999999996,0.711,26.0,0.24,26.0,125.0,97.0,1.29,5.0,0.27,3.73,0.11599999999999999,52.9,1,,,,,,,,,,,,,,,,,,,,t1501,0.596,3
2015,김태군,NC,0.254,144,474.0,421.0,45.0,107.0,24.0,0.0,6.0,149.0,52.0,11.0,7.0,25.0,0.0,10.0,77.0,12.0,0.354,0.307,0.6609999999999999,26.0,0.23800000000000002,30.0,125.0,119.0,1.05,5.0,0.32,3.66,0.1,45.9,1,,,,,,,,,,,,,,,,,,,,t1501,0.596,3
2015,손시헌,NC,0.245,140,508.0,440.0,56.0,108.0,24.0,2.0,13.0,175.0,58.0,13.0,5.0,36.0,0.0,14.0,66.0,16.0,0.39799999999999996,0.319,0.7170000000000001,25.0,0.261,39.0,142.0,129.0,1.1,8.0,0.55,3.62,0.152,55.5,1,,,,,,,,,,,,,,,,,,,,t1501,0.596,3
2015,해커,NC,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.13,19.0,5.0,0.792,2.0,174.0,14.0,36.0,,164.0,81.0,71.0,1.03,25.0,833.0,3075.0,0.23199999999999998,34.0,0.0,t1501,0.596,3
2015,유한준,넥센,0.36200000000000004,139,598.0,520.0,103.0,188.0,42.0,1.0,23.0,301.0,116.0,1.0,8.0,67.0,2.0,2.0,71.0,13.0,0.579,0.43,1.0090000000000001,62.0,0.395,66.0,131.0,138.0,0.95,9.0,0.94,4.01,0.217,116.0,1,,,,,,,,,,,,,,,,,,,,t1502,0.545,4
2015,박병호,넥센,0.34299999999999997,140,622.0,528.0,129.0,181.0,35.0,1.0,53.0,377.0,146.0,0.0,4.0,78.0,6.0,12.0,161.0,10.0,0.7140000000000001,0.436,1.15,50.0,0.375,89.0,87.0,103.0,0.84,16.0,0.48,4.05,0.371,144.7,1,,,,,,,,,,,,,,,,,,,,t1502,0.545,4
2015,김민성,넥센,0.303,118,489.0,445.0,60.0,135.0,24.0,0.0,16.0,207.0,71.0,2.0,3.0,31.0,1.0,8.0,62.0,15.0,0.465,0.35700000000000004,0.8220000000000001,40.0,0.257,40.0,120.0,131.0,0.92,2.0,0.5,3.94,0.162,68.1,1,,,,,,,,,,,,,,,,,,,,t1502,0.545,4
2015,김하성,넥센,0.29,140,582.0,511.0,89.0,148.0,35.0,5.0,19.0,250.0,73.0,4.0,6.0,56.0,2.0,5.0,115.0,10.0,0.489,0.36200000000000004,0.851,42.0,0.26,59.0,111.0,143.0,0.78,4.0,0.49,4.23,0.2,90.6,1,,,,,,,,,,,,,,,,,,,,t1502,0.545,4
2015,스나이더,넥센,0.281,113,487.0,431.0,88.0,121.0,26.0,1.0,26.0,227.0,71.0,3.0,5.0,37.0,0.0,11.0,135.0,2.0,0.527,0.349,0.8759999999999999,37.0,0.21,53.0,65.0,115.0,0.57,4.0,0.27,4.17,0.24600000000000002,79.9,1,,,,,,,,,,,,,,,,,,,,t1502,0.545,4
2015,밴헤켄,넥센,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.62,15.0,8.0,0.652,1.0,190.0,14.0,67.0,,193.0,92.0,79.0,1.31,16.0,825.0,3278.0,0.257,36.0,3.0,t1502,0.545,4
2015,피어밴드,넥센,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.67,13.0,11.0,0.542,1.0,202.0,23.0,61.0,,137.0,101.0,92.0,1.48,18.0,774.0,2900.0,0.294,34.0,7.0,t1502,0.545,4
2015,구자욱,삼성,0.349,116,465.0,410.0,97.0,143.0,33.0,5.0,11.0,219.0,57.0,0.0,4.0,45.0,0.0,6.0,79.0,3.0,0.534,0.41700000000000004,0.951,43.0,0.33,49.0,89.0,103.0,0.86,2.0,0.57,3.97,0.185,85.7,1,,,,,,,,,,,,,,,,,,,,t1508,0.611,2
